timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,Sentbytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1638599913703,17,Login,200,OK,User 1-1,text,TRUE,,2047,202,2,2,http://localhost:5000/Account/Profile,17,0,3
1638599915705,17,Login,200,OK,User 1-2,text,TRUE,,2047,202,3,3,http://localhost:5000/Account/Profile,17,0,2
1638599916730,8,Search Skill,200,OK,User 1-1,text,TRUE,,2183,227,4,4,http://localhost:5000/Home/Search?searchString=,8,0,0
1638599917708,15,Login,200,OK,User 1-3,text,TRUE,,2047,202,4,4,http://localhost:5000/Account/Profile,15,0,2
1638599918730,9,Search Skill,200,OK,User 1-2,text,TRUE,,2183,228,5,5,http://localhost:5000/Home/Search?searchString=,8,0,0
1638599919707,14,Login,200,OK,User 1-4,text,TRUE,,2047,202,5,5,http://localhost:5000/Account/Profile,14,0,1
1638599919746,7,Logout,200,OK,User 1-1,text,TRUE,,2021,123,5,5,http://localhost:5000/Home,7,0,0
1638599920730,7,Search Skill,200,OK,User 1-3,text,TRUE,,2183,211,5,5,http://localhost:5000/Home/Search?searchString=,7,0,0
1638599921705,13,Login,200,OK,User 1-5,text,TRUE,,2047,202,5,5,http://localhost:5000/Account/Profile,13,0,1
1638599921746,6,Logout,200,OK,User 1-2,text,TRUE,,2021,123,5,5,http://localhost:5000/Home,6,0,0
1638599922736,8,Search Skill,200,OK,User 1-4,text,TRUE,,2183,220,5,5,http://localhost:5000/Home/Search?searchString=,8,0,0
1638599922770,9,Login,200,OK,User 1-1,text,TRUE,,2047,202,5,5,http://localhost:5000/Account/Profile,9,0,0
1638599923753,7,Logout,200,OK,User 1-3,text,TRUE,,2021,123,5,5,http://localhost:5000/Home,7,0,0
1638599924729,11,Search Skill,200,OK,User 1-5,text,TRUE,,2183,227,5,5,http://localhost:5000/Home/Search?searchString=,10,0,0
1638599924766,8,Login,200,OK,User 1-2,text,TRUE,,2047,202,5,5,http://localhost:5000/Account/Profile,8,0,0
1638599925757,5,Logout,200,OK,User 1-4,text,TRUE,,2021,123,5,5,http://localhost:5000/Home,5,0,0
1638599925789,6,Search Skill,200,OK,User 1-1,text,TRUE,,2183,228,5,5,http://localhost:5000/Home/Search?searchString=,6,0,0
1638599926784,8,Login,200,OK,User 1-3,text,TRUE,,2047,202,5,5,http://localhost:5000/Account/Profile,8,0,0
1638599927755,8,Logout,200,OK,User 1-5,text,TRUE,,2021,123,5,5,http://localhost:5000/Home,8,0,0
1638599927789,9,Search Skill,200,OK,User 1-2,text,TRUE,,2183,211,5,5,http://localhost:5000/Home/Search?searchString=,9,0,0
1638599928768,4,Login,200,OK,User 1-4,text,TRUE,,2047,202,5,5,http://localhost:5000/Account/Profile,4,0,0
1638599928800,8,Logout,200,OK,User 1-1,text,TRUE,,2021,123,5,5,http://localhost:5000/Home,8,0,0
1638599929808,9,Search Skill,200,OK,User 1-3,text,TRUE,,2183,220,4,4,http://localhost:5000/Home/Search?searchString=,9,0,0
1638599930779,6,Login,200,OK,User 1-5,text,TRUE,,2047,202,4,4,http://localhost:5000/Account/Profile,6,0,0
1638599930810,9,Logout,200,OK,User 1-2,text,TRUE,,2021,123,4,4,http://localhost:5000/Home,9,0,0
1638599931783,6,Search Skill,200,OK,User 1-4,text,TRUE,,2183,227,3,3,http://localhost:5000/Home/Search?searchString=,6,0,0
1638599932831,3,Logout,200,OK,User 1-3,text,TRUE,,2021,123,3,3,http://localhost:5000/Home,3,0,0
1638599933799,8,Search Skill,200,OK,User 1-5,text,TRUE,,2183,228,2,2,http://localhost:5000/Home/Search?searchString=,8,0,0
1638599934799,9,Logout,200,OK,User 1-4,text,TRUE,,2021,123,2,2,http://localhost:5000/Home,9,0,0
1638599936815,5,Logout,200,OK,User 1-5,text,TRUE,,2021,123,1,1,http://localhost:5000/Home,5,0,0
